"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Galway City Council"                   ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Galway County Council"                 ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Leitrim County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Mayo  County Council"                  ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Roscommon County Council"              ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Sligo County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Cavan County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Donegal County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Singapore"                                                            ,"Monaghan County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Ireland"                               ,"Number" ,"171"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Carlow County Council"                 ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Dublin City Council"                   ,"Number" ,"44"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"18"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Fingal County Council"                 ,"Number" ,"13"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"South Dublin County Council"           ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Kildare County Council"                ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Kilkenny County Council"               ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Laois County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Longford County Council"               ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Louth County Council"                  ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Meath County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Offaly County Council"                 ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Westmeath County Council"              ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Wexford County Council"                ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Wicklow County Council"                ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Clare County Council"                  ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Cork City Council"                     ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Cork County Council"                   ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Kerry County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Limerick City & County Council"        ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Tipperary County Council"              ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Waterford City & County Council"       ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Galway City Council"                   ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Galway County Council"                 ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Leitrim County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Mayo  County Council"                  ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Roscommon County Council"              ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Sligo County Council"                  ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Cavan County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Donegal County Council"                ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovenia"                                                             ,"Monaghan County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Ireland"                               ,"Number" ,"4234"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Carlow County Council"                 ,"Number" ,"66"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Dublin City Council"                   ,"Number" ,"430"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"75"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Fingal County Council"                 ,"Number" ,"371"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"South Dublin County Council"           ,"Number" ,"156"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Kildare County Council"                ,"Number" ,"267"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Kilkenny County Council"               ,"Number" ,"81"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Laois County Council"                  ,"Number" ,"119"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Longford County Council"               ,"Number" ,"262"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Louth County Council"                  ,"Number" ,"91"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Meath County Council"                  ,"Number" ,"135"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Offaly County Council"                 ,"Number" ,"38"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Westmeath County Council"              ,"Number" ,"95"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Wexford County Council"                ,"Number" ,"57"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Wicklow County Council"                ,"Number" ,"80"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Clare County Council"                  ,"Number" ,"130"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Cork City Council"                     ,"Number" ,"163"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Cork County Council"                   ,"Number" ,"311"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Kerry County Council"                  ,"Number" ,"160"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Limerick City & County Council"        ,"Number" ,"154"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Tipperary County Council"              ,"Number" ,"103"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Waterford City & County Council"       ,"Number" ,"186"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Galway City Council"                   ,"Number" ,"72"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Galway County Council"                 ,"Number" ,"89"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Leitrim County Council"                ,"Number" ,"22"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Mayo  County Council"                  ,"Number" ,"166"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Roscommon County Council"              ,"Number" ,"191"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Sligo County Council"                  ,"Number" ,"38"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Cavan County Council"                  ,"Number" ,"41"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Donegal County Council"                ,"Number" ,"54"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Slovakia"                                                             ,"Monaghan County Council"               ,"Number" ,"31"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Ireland"                               ,"Number" ,"672"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Carlow County Council"                 ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Dublin City Council"                   ,"Number" ,"183"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Fingal County Council"                 ,"Number" ,"103"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"South Dublin County Council"           ,"Number" ,"83"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Kildare County Council"                ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Kilkenny County Council"               ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Laois County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Longford County Council"               ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Louth County Council"                  ,"Number" ,"33"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Meath County Council"                  ,"Number" ,"20"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Offaly County Council"                 ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Westmeath County Council"              ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Wexford County Council"                ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Wicklow County Council"                ,"Number" ,"16"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Clare County Council"                  ,"Number" ,"25"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Cork City Council"                     ,"Number" ,"44"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Cork County Council"                   ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Kerry County Council"                  ,"Number" ,"20"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Limerick City & County Council"        ,"Number" ,"30"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Tipperary County Council"              ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Waterford City & County Council"       ,"Number" ,"20"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Galway City Council"                   ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Galway County Council"                 ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Leitrim County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Mayo  County Council"                  ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Roscommon County Council"              ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Sligo County Council"                  ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Cavan County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Donegal County Council"                ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Somalia"                                                              ,"Monaghan County Council"               ,"Number" ,"22"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Ireland"                               ,"Number" ,"1737"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Carlow County Council"                 ,"Number" ,"42"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Dublin City Council"                   ,"Number" ,"91"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"29"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Fingal County Council"                 ,"Number" ,"49"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"South Dublin County Council"           ,"Number" ,"36"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Kildare County Council"                ,"Number" ,"15"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Kilkenny County Council"               ,"Number" ,"66"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Laois County Council"                  ,"Number" ,"61"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Longford County Council"               ,"Number" ,"34"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Louth County Council"                  ,"Number" ,"21"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Meath County Council"                  ,"Number" ,"117"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Offaly County Council"                 ,"Number" ,"43"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Westmeath County Council"              ,"Number" ,"63"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Wexford County Council"                ,"Number" ,"95"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Wicklow County Council"                ,"Number" ,"85"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Clare County Council"                  ,"Number" ,"54"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Cork City Council"                     ,"Number" ,"33"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Cork County Council"                   ,"Number" ,"123"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Kerry County Council"                  ,"Number" ,"38"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Limerick City & County Council"        ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Tipperary County Council"              ,"Number" ,"86"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Waterford City & County Council"       ,"Number" ,"87"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Galway City Council"                   ,"Number" ,"14"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Galway County Council"                 ,"Number" ,"35"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Leitrim County Council"                ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Mayo  County Council"                  ,"Number" ,"94"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Roscommon County Council"              ,"Number" ,"78"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Sligo County Council"                  ,"Number" ,"32"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Cavan County Council"                  ,"Number" ,"31"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Donegal County Council"                ,"Number" ,"86"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Syrian Arab Republic (the)"                                           ,"Monaghan County Council"               ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Ireland"                               ,"Number" ,"266"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Carlow County Council"                 ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Dublin City Council"                   ,"Number" ,"48"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Fingal County Council"                 ,"Number" ,"19"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"South Dublin County Council"           ,"Number" ,"13"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Kildare County Council"                ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Kilkenny County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Laois County Council"                  ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Longford County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Louth County Council"                  ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Meath County Council"                  ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Offaly County Council"                 ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Westmeath County Council"              ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Wexford County Council"                ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Wicklow County Council"                ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Clare County Council"                  ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Cork City Council"                     ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Cork County Council"                   ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Kerry County Council"                  ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Limerick City & County Council"        ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Tipperary County Council"              ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Waterford City & County Council"       ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Galway City Council"                   ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Galway County Council"                 ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Leitrim County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Mayo  County Council"                  ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Roscommon County Council"              ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Sligo County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Cavan County Council"                  ,"Number" ,"18"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Donegal County Council"                ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Thailand"                                                             ,"Monaghan County Council"               ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Ireland"                               ,"Number" ,"1792"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Carlow County Council"                 ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Dublin City Council"                   ,"Number" ,"904"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"166"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Fingal County Council"                 ,"Number" ,"123"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"South Dublin County Council"           ,"Number" ,"79"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Kildare County Council"                ,"Number" ,"39"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Kilkenny County Council"               ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Laois County Council"                  ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Longford County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Louth County Council"                  ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Meath County Council"                  ,"Number" ,"16"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Offaly County Council"                 ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Westmeath County Council"              ,"Number" ,"22"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Wexford County Council"                ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Wicklow County Council"                ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Clare County Council"                  ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Cork City Council"                     ,"Number" ,"141"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Cork County Council"                   ,"Number" ,"51"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Kerry County Council"                  ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Limerick City & County Council"        ,"Number" ,"29"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Tipperary County Council"              ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Waterford City & County Council"       ,"Number" ,"18"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Galway City Council"                   ,"Number" ,"22"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Galway County Council"                 ,"Number" ,"19"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Leitrim County Council"                ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Mayo  County Council"                  ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Roscommon County Council"              ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Sligo County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Cavan County Council"                  ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Donegal County Council"                ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Turkiye"                                                              ,"Monaghan County Council"               ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Male"       ,"Taiwan (Province of China)"                                           ,"Ireland"                               ,"Number" ,"201"
