"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Persons aged 40-49 years","2022","Astee, Kerry","Number","64"
"Persons aged 40-49 years","2022","Bahaghs, Kerry","Number","28"
"Persons aged 40-49 years","2022","Ballincloher, Kerry","Number","60"
"Persons aged 40-49 years","2022","Ballinskelligs, Kerry","Number","47"
"Persons aged 40-49 years","2022","Ballinvoher, Kerry","Number","85"
"Persons aged 40-49 years","2022","Ballybrack, Kerry","Number","10"
"Persons aged 40-49 years","2022","Ballyconry, Kerry","Number","60"
"Persons aged 40-49 years","2022","Ballyduff, Kerry, 077015","Number","113"
"Persons aged 40-49 years","2022","Ballyduff, Kerry, 077016","Number","16"
"Persons aged 40-49 years","2022","Ballyegan, Kerry, 077017","Number","72"
"Persons aged 40-49 years","2022","Ballyegan, Kerry, 077018","Number","9"
"Persons aged 40-49 years","2022","Ballyhar, Kerry","Number","37"
"Persons aged 40-49 years","2022","Ballyheige, Kerry","Number","213"
"Persons aged 40-49 years","2022","Ballyhorgan, Kerry","Number","72"
"Persons aged 40-49 years","2022","Ballynacourty, Kerry","Number","46"
"Persons aged 40-49 years","2022","Ballynahaglish, Kerry","Number","240"
"Persons aged 40-49 years","2022","Ballynorig, Kerry","Number","87"
"Persons aged 40-49 years","2022","Ballyseedy, Kerry","Number","315"
"Persons aged 40-49 years","2022","Banawn, Kerry","Number","39"
"Persons aged 40-49 years","2022","Banna, Kerry","Number","104"
"Persons aged 40-49 years","2022","Baurtregaum, Kerry","Number","54"
"Persons aged 40-49 years","2022","Beal, Kerry","Number","17"
"Persons aged 40-49 years","2022","Blennerville, Kerry","Number","85"
"Persons aged 40-49 years","2022","Boolteens, Kerry","Number","76"
"Persons aged 40-49 years","2022","Brandon, Kerry","Number","16"
"Persons aged 40-49 years","2022","Brewsterfield, Kerry","Number","139"
"Persons aged 40-49 years","2022","Brosna, Kerry","Number","74"
"Persons aged 40-49 years","2022","Caher, Kerry","Number","272"
"Persons aged 40-49 years","2022","Caherdaniel, Kerry","Number","39"
"Persons aged 40-49 years","2022","Cappagh, Kerry","Number","80"
"Persons aged 40-49 years","2022","Caragh, Kerry","Number","173"
"Persons aged 40-49 years","2022","Carker, Kerry","Number","62"
"Persons aged 40-49 years","2022","Carrig, Kerry","Number","47"
"Persons aged 40-49 years","2022","Castlecove, Kerry","Number","40"
"Persons aged 40-49 years","2022","Castlegregory, Kerry","Number","164"
"Persons aged 40-49 years","2022","Castleisland, Kerry","Number","498"
"Persons aged 40-49 years","2022","Castlequin, Kerry","Number","80"
"Persons aged 40-49 years","2022","Causeway, Kerry","Number","93"
"Persons aged 40-49 years","2022","Churchtown, Kerry","Number","69"
"Persons aged 40-49 years","2022","Cloghane, Kerry","Number","30"
"Persons aged 40-49 years","2022","Clogherbrien, Kerry","Number","190"
"Persons aged 40-49 years","2022","Cloontubbrid, Kerry","Number","43"
"Persons aged 40-49 years","2022","Clydagh, Kerry","Number","17"
"Persons aged 40-49 years","2022","Coolies, Kerry","Number","155"
"Persons aged 40-49 years","2022","Coom, Kerry","Number","360"
"Persons aged 40-49 years","2022","Cordal, Kerry","Number","32"
"Persons aged 40-49 years","2022","Crinny, Kerry","Number","42"
"Persons aged 40-49 years","2022","Curraghbeg, Kerry","Number","19"
"Persons aged 40-49 years","2022","Curraghmore, Kerry","Number","65"
"Persons aged 40-49 years","2022","Currans, Kerry","Number","32"
"Persons aged 40-49 years","2022","Darrynane, Kerry","Number","34"
"Persons aged 40-49 years","2022","Dawros, Kerry","Number","59"
"Persons aged 40-49 years","2022","Deelis, Kerry","Number","65"
"Persons aged 40-49 years","2022","Derreen, Kerry","Number","31"
"Persons aged 40-49 years","2022","Derriana/Cloon, Kerry","Number","38"
"Persons aged 40-49 years","2022","Dingle, Kerry","Number","206"
"Persons aged 40-49 years","2022","Doocarrig, Kerry","Number","130"
"Persons aged 40-49 years","2022","Doon, Kerry","Number","84"
"Persons aged 40-49 years","2022","Dromin, Kerry","Number","139"
"Persons aged 40-49 years","2022","Drommartin, Kerry","Number","98"
"Persons aged 40-49 years","2022","Dromore, Kerry","Number","32"
"Persons aged 40-49 years","2022","Duagh, Kerry","Number","74"
"Persons aged 40-49 years","2022","Dunloe, Kerry","Number","122"
"Persons aged 40-49 years","2022","Dunquin, Kerry","Number","31"
"Persons aged 40-49 years","2022","Dunurlin, Kerry","Number","66"
"Persons aged 40-49 years","2022","Emlagh, Kerry","Number","135"
"Persons aged 40-49 years","2022","Ennismore, Kerry","Number","64"
"Persons aged 40-49 years","2022","Flesk, Kerry","Number","61"
"Persons aged 40-49 years","2022","Glanbehy, Kerry","Number","172"
"Persons aged 40-49 years","2022","Glanlee, Kerry","Number","24"
"Persons aged 40-49 years","2022","Glanlough, Kerry","Number","15"
"Persons aged 40-49 years","2022","Glanmore, Kerry","Number","28"
"Persons aged 40-49 years","2022","Glinn, Kerry","Number","268"
"Persons aged 40-49 years","2022","Gneeves, Kerry","Number","75"
"Persons aged 40-49 years","2022","Greenane, Kerry","Number","21"
"Persons aged 40-49 years","2022","Gullane, Kerry","Number","45"
"Persons aged 40-49 years","2022","Gunsborough, Kerry","Number","69"
"Persons aged 40-49 years","2022","Headfort, Kerry","Number","176"
"Persons aged 40-49 years","2022","Inch, Kerry","Number","21"
"Persons aged 40-49 years","2022","Kenmare, Kerry","Number","571"
"Persons aged 40-49 years","2022","Kerryhead, Kerry","Number","93"
"Persons aged 40-49 years","2022","Kilbonane, Kerry","Number","132"
"Persons aged 40-49 years","2022","Kilcummin, Kerry","Number","429"
"Persons aged 40-49 years","2022","Kilfeighny, Kerry","Number","162"
"Persons aged 40-49 years","2022","Kilfelim, Kerry","Number","35"
"Persons aged 40-49 years","2022","Kilflyn, Kerry","Number","58"
"Persons aged 40-49 years","2022","Kilgarrylander, Kerry","Number","104"
"Persons aged 40-49 years","2022","Kilgarvan, Kerry","Number","117"
"Persons aged 40-49 years","2022","Kilgobban, Kerry","Number","47"
"Persons aged 40-49 years","2022","Kilgobnet, Kerry","Number","160"
"Persons aged 40-49 years","2022","Killahan, Kerry","Number","68"
"Persons aged 40-49 years","2022","Killarney Rural, Kerry","Number","1225"
"Persons aged 40-49 years","2022","Killarney Urban, Kerry","Number","1629"
"Persons aged 40-49 years","2022","Killeentierna, Kerry","Number","131"
"Persons aged 40-49 years","2022","Killehenny, Kerry","Number","266"
"Persons aged 40-49 years","2022","Killinane, Kerry","Number","42"
"Persons aged 40-49 years","2022","Killorglin, Kerry","Number","717"
"Persons aged 40-49 years","2022","Killury, Kerry","Number","69"
"Persons aged 40-49 years","2022","Kilmalkedar, Kerry","Number","64"
"Persons aged 40-49 years","2022","Kilmeany, Kerry","Number","109"
"Persons aged 40-49 years","2022","Kilmurry, Kerry","Number","36"
"Persons aged 40-49 years","2022","Kilnanare, Kerry","Number","184"
"Persons aged 40-49 years","2022","Kilquane, Kerry","Number","43"
"Persons aged 40-49 years","2022","Kilshenane, Kerry","Number","28"
"Persons aged 40-49 years","2022","Kiltallagh, Kerry","Number","98"
"Persons aged 40-49 years","2022","Kiltomy, Kerry","Number","67"
"Persons aged 40-49 years","2022","Kinard, Kerry","Number","54"
"Persons aged 40-49 years","2022","Knockglass, Kerry","Number","59"
"Persons aged 40-49 years","2022","Knocknagashel, Kerry","Number","113"
"Persons aged 40-49 years","2022","Knocknahoe, Kerry","Number","45"
"Persons aged 40-49 years","2022","Lack, Kerry","Number","28"
"Persons aged 40-49 years","2022","Lackabaun, Kerry","Number","55"
"Persons aged 40-49 years","2022","Lahard, Kerry","Number","102"
"Persons aged 40-49 years","2022","Leitrim, Kerry","Number","96"
"Persons aged 40-49 years","2022","Lickeen, Kerry","Number","14"
"Persons aged 40-49 years","2022","Lislaughtin, Kerry","Number","57"
"Persons aged 40-49 years","2022","Lisselton, Kerry","Number","44"
"Persons aged 40-49 years","2022","Listowel Rural, Kerry","Number","265"
"Persons aged 40-49 years","2022","Listowel Urban, Kerry","Number","580"
"Persons aged 40-49 years","2022","Lixnaw, Kerry","Number","167"
"Persons aged 40-49 years","2022","Loughbrin, Kerry","Number","13"
"Persons aged 40-49 years","2022","Loughcurrane, Kerry","Number","55"
"Persons aged 40-49 years","2022","Marhin, Kerry","Number","40"
"Persons aged 40-49 years","2022","Mastergeehy/Canuig, Kerry","Number","31"
"Persons aged 40-49 years","2022","Maum, Kerry","Number","46"
"Persons aged 40-49 years","2022","Millbrook, Kerry","Number","77"
"Persons aged 40-49 years","2022","Milltown, Kerry","Number","436"
"Persons aged 40-49 years","2022","Minard, Kerry","Number","70"
"Persons aged 40-49 years","2022","Molahiffe, Kerry","Number","326"
"Persons aged 40-49 years","2022","Mount Eagle, Kerry","Number","24"
"Persons aged 40-49 years","2022","Moynsha, Kerry","Number","77"
"Persons aged 40-49 years","2022","Muckross, Kerry","Number","127"
"Persons aged 40-49 years","2022","Newtownsandes, Kerry","Number","162"
"Persons aged 40-49 years","2022","Nohaval, Kerry","Number","54"
"Persons aged 40-49 years","2022","O'brennan, Kerry","Number","91"
"Persons aged 40-49 years","2022","Portmagee, Kerry","Number","56"
"Persons aged 40-49 years","2022","Ratass, Kerry","Number","150"
"Persons aged 40-49 years","2022","Rathea, Kerry","Number","56"
"Persons aged 40-49 years","2022","Rathmore, Kerry","Number","279"
"Persons aged 40-49 years","2022","Reen, Kerry","Number","26"
"Persons aged 40-49 years","2022","Rockfield, Kerry","Number","71"
"Persons aged 40-49 years","2022","Scartaglin, Kerry","Number","91"
"Persons aged 40-49 years","2022","Shronowen, Kerry","Number","19"
"Persons aged 40-49 years","2022","Sneem, Kerry","Number","128"
"Persons aged 40-49 years","2022","St. Finan's, Kerry","Number","32"
"Persons aged 40-49 years","2022","Stradbally, Kerry","Number","39"
"Persons aged 40-49 years","2022","Tahilla, Kerry","Number","23"
"Persons aged 40-49 years","2022","Tarbert, Kerry","Number","85"
"Persons aged 40-49 years","2022","Tarmon, Kerry","Number","80"
"Persons aged 40-49 years","2022","Teeranearagh, Kerry","Number","45"
"Persons aged 40-49 years","2022","Tralee Rural, Kerry","Number","2730"
"Persons aged 40-49 years","2022","Tralee Urban, Kerry","Number","895"
"Persons aged 40-49 years","2022","Trienearagh, Kerry","Number","87"
"Persons aged 40-49 years","2022","Tubrid, Kerry","Number","133"
"Persons aged 40-49 years","2022","Urlee, Kerry","Number","54"
"Persons aged 40-49 years","2022","Valencia, Kerry","Number","74"
"Persons aged 40-49 years","2022","Ventry, Kerry","Number","59"
"Persons aged 40-49 years","2022","Abbey A, Limerick","Number","659"
"Persons aged 40-49 years","2022","Abbey B, Limerick","Number","495"
"Persons aged 40-49 years","2022","Abbey C, Limerick","Number","104"
"Persons aged 40-49 years","2022","Abbey D, Limerick","Number","183"
"Persons aged 40-49 years","2022","Ballinacurra A, Limerick","Number","310"
"Persons aged 40-49 years","2022","Ballinacurra B, Limerick","Number","171"
"Persons aged 40-49 years","2022","Ballynanty, Limerick","Number","349"
"Persons aged 40-49 years","2022","Castle A, Limerick","Number","156"
"Persons aged 40-49 years","2022","Castle B, Limerick","Number","63"
"Persons aged 40-49 years","2022","Castle C, Limerick","Number","196"
"Persons aged 40-49 years","2022","Castle D, Limerick","Number","218"
"Persons aged 40-49 years","2022","Coolraine, Limerick","Number","220"
"Persons aged 40-49 years","2022","Custom House, Limerick","Number","183"
"Persons aged 40-49 years","2022","Dock A, Limerick","Number","551"
"Persons aged 40-49 years","2022","Dock B, Limerick","Number","206"
"Persons aged 40-49 years","2022","Dock C, Limerick","Number","172"
"Persons aged 40-49 years","2022","Dock D, Limerick","Number","106"
"Persons aged 40-49 years","2022","Farranshone, Limerick","Number","146"
"Persons aged 40-49 years","2022","Galvone A, Limerick","Number","169"
"Persons aged 40-49 years","2022","Galvone B, Limerick","Number","79"
"Persons aged 40-49 years","2022","Glentworth A, Limerick","Number","89"
"Persons aged 40-49 years","2022","Glentworth B, Limerick","Number","149"
"Persons aged 40-49 years","2022","Glentworth C, Limerick","Number","67"
"Persons aged 40-49 years","2022","John's A, Limerick","Number","92"
"Persons aged 40-49 years","2022","John's B, Limerick","Number","143"
"Persons aged 40-49 years","2022","John's C, Limerick","Number","79"
"Persons aged 40-49 years","2022","Killeely A, Limerick","Number","184"
"Persons aged 40-49 years","2022","Killeely B, Limerick","Number","117"
"Persons aged 40-49 years","2022","Limerick North Rural, Limerick","Number","915"
"Persons aged 40-49 years","2022","Market, Limerick","Number","387"
"Persons aged 40-49 years","2022","Prospect A, Limerick","Number","128"
"Persons aged 40-49 years","2022","Prospect B, Limerick","Number","82"
"Persons aged 40-49 years","2022","Rathbane, Limerick","Number","252"
"Persons aged 40-49 years","2022","Shannon A, Limerick","Number","210"
"Persons aged 40-49 years","2022","Shannon B, Limerick","Number","216"
"Persons aged 40-49 years","2022","Singland A, Limerick","Number","199"
"Persons aged 40-49 years","2022","Singland B, Limerick","Number","604"
"Persons aged 40-49 years","2022","St. Laurence, Limerick","Number","113"
"Persons aged 40-49 years","2022","Abbeyfeale, Limerick","Number","363"
"Persons aged 40-49 years","2022","Abbeyville, Limerick","Number","71"
"Persons aged 40-49 years","2022","Abington, Limerick","Number","218"
"Persons aged 40-49 years","2022","Adare North, Limerick","Number","74"
"Persons aged 40-49 years","2022","Adare South, Limerick","Number","303"
"Persons aged 40-49 years","2022","Anglesborough, Limerick","Number","42"
"Persons aged 40-49 years","2022","Ardagh, Limerick","Number","132"
"Persons aged 40-49 years","2022","Ardpatrick, Limerick","Number","57"
"Persons aged 40-49 years","2022","Askeaton East, Limerick","Number","63"
"Persons aged 40-49 years","2022","Askeaton West, Limerick","Number","151"
"Persons aged 40-49 years","2022","Athlacca, Limerick","Number","66"
"Persons aged 40-49 years","2022","Aughinish, Limerick","Number","31"
"Persons aged 40-49 years","2022","Ballingarry, Limerick","Number","162"
"Persons aged 40-49 years","2022","Ballintober, Limerick","Number","60"
"Persons aged 40-49 years","2022","Ballyagran, Limerick","Number","55"
"Persons aged 40-49 years","2022","Ballyallinan, Limerick","Number","54"
"Persons aged 40-49 years","2022","Ballybricken, Limerick","Number","281"
"Persons aged 40-49 years","2022","Ballycummin, Limerick","Number","3269"
"Persons aged 40-49 years","2022","Ballygrennan, Limerick","Number","39"
"Persons aged 40-49 years","2022","Ballylanders, Limerick","Number","101"
"Persons aged 40-49 years","2022","Ballymacshaneboy, Limerick","Number","82"
"Persons aged 40-49 years","2022","Ballynabanoge, Limerick","Number","51"
"Persons aged 40-49 years","2022","Ballynacarriga, Limerick","Number","151"
"Persons aged 40-49 years","2022","Ballynoe West, Limerick","Number","61"
"Persons aged 40-49 years","2022","Ballynoe, Limerick","Number","62"
"Persons aged 40-49 years","2022","Ballysimon, Limerick","Number","2475"
"Persons aged 40-49 years","2022","Ballyvarra, Limerick","Number","671"
"Persons aged 40-49 years","2022","Bilboa, Limerick","Number","68"
"Persons aged 40-49 years","2022","Boola, Limerick","Number","31"
"Persons aged 40-49 years","2022","Broadford, Limerick","Number","149"
"Persons aged 40-49 years","2022","Bruff, Limerick","Number","189"
"Persons aged 40-49 years","2022","Bruree, Limerick","Number","197"
"Persons aged 40-49 years","2022","Bulgaden, Limerick","Number","42"
"Persons aged 40-49 years","2022","Caher, Limerick","Number","67"
"Persons aged 40-49 years","2022","Caherconlish East, Limerick","Number","87"
"Persons aged 40-49 years","2022","Caherconlish West, Limerick","Number","407"
"Persons aged 40-49 years","2022","Cahercorney, Limerick","Number","137"
"Persons aged 40-49 years","2022","Caherelly, Limerick","Number","68"
"Persons aged 40-49 years","2022","Cappamore, Limerick","Number","204"
"Persons aged 40-49 years","2022","Carrig, Limerick","Number","107"
"Persons aged 40-49 years","2022","Castleconnell, Limerick","Number","645"
"Persons aged 40-49 years","2022","Castletown, Limerick, 127042","Number","49"
"Persons aged 40-49 years","2022","Castletown, Limerick, 127043","Number","71"
"Persons aged 40-49 years","2022","Clarina, Limerick","Number","272"
"Persons aged 40-49 years","2022","Cleanglass, Limerick","Number","30"
"Persons aged 40-49 years","2022","Cloncagh, Limerick","Number","56"
"Persons aged 40-49 years","2022","Clonkeen, Limerick","Number","243"
"Persons aged 40-49 years","2022","Colmanswell, Limerick","Number","59"
"Persons aged 40-49 years","2022","Coolrus, Limerick","Number","71"
"Persons aged 40-49 years","2022","Craggs, Limerick","Number","38"
"Persons aged 40-49 years","2022","Crean, Limerick","Number","76"
"Persons aged 40-49 years","2022","Crecora, Limerick","Number","60"
"Persons aged 40-49 years","2022","Croagh, Limerick","Number","104"
"Persons aged 40-49 years","2022","Croom, Limerick","Number","298"
"Persons aged 40-49 years","2022","Cullane, Limerick","Number","67"
"Persons aged 40-49 years","2022","Danganbeg, Limerick","Number","74"
"Persons aged 40-49 years","2022","Darragh, Limerick","Number","67"
"Persons aged 40-49 years","2022","Doon South, Limerick","Number","195"
"Persons aged 40-49 years","2022","Doon West, Limerick","Number","45"
"Persons aged 40-49 years","2022","Dromard, Limerick","Number","135"
"Persons aged 40-49 years","2022","Dromcolliher, Limerick","Number","115"
"Persons aged 40-49 years","2022","Dromin, Limerick","Number","86"
"Persons aged 40-49 years","2022","Dromtrasna, Limerick","Number","135"
"Persons aged 40-49 years","2022","Dunmoylan East, Limerick","Number","91"
"Persons aged 40-49 years","2022","Dunnaman, Limerick","Number","93"
"Persons aged 40-49 years","2022","Duntryleague, Limerick","Number","49"
"Persons aged 40-49 years","2022","Emlygrennan, Limerick","Number","142"
"Persons aged 40-49 years","2022","Fedamore, Limerick","Number","184"
"Persons aged 40-49 years","2022","Feenagh, Limerick","Number","32"
"Persons aged 40-49 years","2022","Fleanmore, Limerick","Number","39"
"Persons aged 40-49 years","2022","Galbally, Limerick","Number","87"
"Persons aged 40-49 years","2022","Garrane, Limerick","Number","50"
"Persons aged 40-49 years","2022","Garryduff, Limerick","Number","30"
"Persons aged 40-49 years","2022","Glenagower, Limerick","Number","71"
"Persons aged 40-49 years","2022","Glenbrohane, Limerick","Number","90"
"Persons aged 40-49 years","2022","Glengort, Limerick","Number","91"
"Persons aged 40-49 years","2022","Glensharrold, Limerick","Number","66"
"Persons aged 40-49 years","2022","Glenstal, Limerick","Number","199"
"Persons aged 40-49 years","2022","Glin, Limerick","Number","178"
"Persons aged 40-49 years","2022","Grange, Limerick","Number","87"
"Persons aged 40-49 years","2022","Grean, Limerick","Number","222"
"Persons aged 40-49 years","2022","Griston, Limerick","Number","42"
"Persons aged 40-49 years","2022","Hospital, Limerick","Number","209"
"Persons aged 40-49 years","2022","Iveruss, Limerick","Number","43"
"Persons aged 40-49 years","2022","Kilbeheny, Limerick","Number","42"
"Persons aged 40-49 years","2022","Kilcornan, Limerick","Number","134"
"Persons aged 40-49 years","2022","Kildimo, Limerick","Number","107"
"Persons aged 40-49 years","2022","Kilfergus, Limerick","Number","39"
"Persons aged 40-49 years","2022","Kilfinnane, Limerick","Number","164"
"Persons aged 40-49 years","2022","Kilfinny, Limerick","Number","46"
"Persons aged 40-49 years","2022","Kilflyn, Limerick","Number","36"
"Persons aged 40-49 years","2022","Kilglass, Limerick","Number","43"
"Persons aged 40-49 years","2022","Kilmallock, Limerick","Number","343"
"Persons aged 40-49 years","2022","Kilmeedy, Limerick","Number","61"
"Persons aged 40-49 years","2022","Kilmoylan, Limerick","Number","44"
"Persons aged 40-49 years","2022","Kilmurry, Limerick","Number","138"
"Persons aged 40-49 years","2022","Kilpeacon, Limerick","Number","92"
"Persons aged 40-49 years","2022","Kilscannell, Limerick","Number","90"
"Persons aged 40-49 years","2022","Kilteely, Limerick","Number","101"
"Persons aged 40-49 years","2022","Knockaderry, Limerick","Number","73"
"Persons aged 40-49 years","2022","Knockainy, Limerick","Number","105"
"Persons aged 40-49 years","2022","Knocklong, Limerick","Number","125"
"Persons aged 40-49 years","2022","Knocknascrow, Limerick","Number","51"
"Persons aged 40-49 years","2022","Limerick South Rural, Limerick","Number","395"
"Persons aged 40-49 years","2022","Lismakeery, Limerick","Number","70"
"Persons aged 40-49 years","2022","Loghill, Limerick","Number","86"
"Persons aged 40-49 years","2022","Mahoonagh, Limerick","Number","103"
"Persons aged 40-49 years","2022","Mohernagh/Dunmoylan West, Limerick","Number","24"
"Persons aged 40-49 years","2022","Monagay, Limerick","Number","197"
"Persons aged 40-49 years","2022","Mountcollins, Limerick","Number","68"
"Persons aged 40-49 years","2022","Mountplummer, Limerick","Number","53"
"Persons aged 40-49 years","2022","Nantinan, Limerick","Number","98"
"Persons aged 40-49 years","2022","Newcastle Rural, Limerick","Number","368"
"Persons aged 40-49 years","2022","Newcastle Urban, Limerick","Number","834"
"Persons aged 40-49 years","2022","Oola, Limerick","Number","155"
"Persons aged 40-49 years","2022","Pallaskenry, Limerick","Number","156"
"Persons aged 40-49 years","2022","Particles, Limerick","Number","45"
"Persons aged 40-49 years","2022","Patrickswell, Limerick","Number","193"
"Persons aged 40-49 years","2022","Port, Limerick","Number","65"
"Persons aged 40-49 years","2022","Rathkeale Rural, Limerick","Number","44"
"Persons aged 40-49 years","2022","Rathkeale Urban, Limerick","Number","199"
"Persons aged 40-49 years","2022","Rathmore, Limerick","Number","43"
"Persons aged 40-49 years","2022","Rathronan, Limerick","Number","125"
"Persons aged 40-49 years","2022","Riddlestown, Limerick","Number","88"
"Persons aged 40-49 years","2022","Riversdale, Limerick","Number","39"
"Persons aged 40-49 years","2022","Rockhill, Limerick","Number","65"
"Persons aged 40-49 years","2022","Rooskagh, Limerick","Number","38"
"Persons aged 40-49 years","2022","Roxborough, Limerick","Number","214"
"Persons aged 40-49 years","2022","Shanagolden, Limerick","Number","127"
"Persons aged 40-49 years","2022","Shanid, Limerick","Number","87"
"Persons aged 40-49 years","2022","Templebredon, Limerick","Number","86"
"Persons aged 40-49 years","2022","Templeglentan, Limerick","Number","168"
"Persons aged 40-49 years","2022","Tobernea, Limerick","Number","87"
"Persons aged 40-49 years","2022","Uregare, Limerick","Number","109"
"Persons aged 40-49 years","2022","Abington, Tipperary","Number","102"
"Persons aged 40-49 years","2022","Aghnameadle, Tipperary","Number","45"
"Persons aged 40-49 years","2022","Aglishcloghane, Tipperary","Number","36"
"Persons aged 40-49 years","2022","Ardcrony, Tipperary","Number","83"
"Persons aged 40-49 years","2022","Ballina, Tipperary","Number","609"
"Persons aged 40-49 years","2022","Ballingarry, Tipperary, 217011","Number","79"
"Persons aged 40-49 years","2022","Ballycahill, Tipperary","Number","66"
"Persons aged 40-49 years","2022","Ballygibbon, Tipperary","Number","111"
"Persons aged 40-49 years","2022","Ballylusky, Tipperary","Number","57"
"Persons aged 40-49 years","2022","Ballymackey, Tipperary","Number","95"
"Persons aged 40-49 years","2022","Ballymurreen, Tipperary","Number","40"
"Persons aged 40-49 years","2022","Ballynaclogh, Tipperary","Number","104"
"Persons aged 40-49 years","2022","Birdhill, Tipperary","Number","107"
"Persons aged 40-49 years","2022","Borrisnafarney, Tipperary","Number","48"
"Persons aged 40-49 years","2022","Borrisnoe, Tipperary","Number","21"
"Persons aged 40-49 years","2022","Borrisokane, Tipperary","Number","199"
"Persons aged 40-49 years","2022","Borrisoleigh, Tipperary","Number","186"
"Persons aged 40-49 years","2022","Bourney East, Tipperary","Number","39"
"Persons aged 40-49 years","2022","Bourney West, Tipperary","Number","67"
"Persons aged 40-49 years","2022","Burgesbeg, Tipperary","Number","56"
"Persons aged 40-49 years","2022","Carrig, Tipperary","Number","16"
"Persons aged 40-49 years","2022","Carrigatogher, Tipperary","Number","95"
"Persons aged 40-49 years","2022","Castletown, Tipperary","Number","232"
"Persons aged 40-49 years","2022","Cloghjordan, Tipperary","Number","198"
"Persons aged 40-49 years","2022","Cloghprior, Tipperary","Number","44"
"Persons aged 40-49 years","2022","Clohaskin, Tipperary","Number","33"
"Persons aged 40-49 years","2022","Derrycastle, Tipperary","Number","71"
"Persons aged 40-49 years","2022","Dolla, Tipperary","Number","29"
"Persons aged 40-49 years","2022","Drom, Tipperary","Number","164"
"Persons aged 40-49 years","2022","Finnoe, Tipperary","Number","34"
"Persons aged 40-49 years","2022","Foilnaman, Tipperary","Number","75"
"Persons aged 40-49 years","2022","Glenkeen, Tipperary","Number","90"
"Persons aged 40-49 years","2022","Gortkelly, Tipperary","Number","92"
"Persons aged 40-49 years","2022","Graigue, Tipperary, 217084","Number","39"
"Persons aged 40-49 years","2022","Holycross, Tipperary","Number","191"
"Persons aged 40-49 years","2022","Inch, Tipperary","Number","62"
"Persons aged 40-49 years","2022","Kilbarron, Tipperary","Number","62"
"Persons aged 40-49 years","2022","Kilcomenty, Tipperary","Number","118"
"Persons aged 40-49 years","2022","Kilkeary, Tipperary","Number","91"
"Persons aged 40-49 years","2022","Killavinoge, Tipperary","Number","68"
"Persons aged 40-49 years","2022","Killea, Tipperary","Number","53"
"Persons aged 40-49 years","2022","Killoscully, Tipperary","Number","92"
"Persons aged 40-49 years","2022","Kilmore, Tipperary","Number","112"
"Persons aged 40-49 years","2022","Kilnaneave, Tipperary","Number","55"
"Persons aged 40-49 years","2022","Kilnarath, Tipperary","Number","61"
"Persons aged 40-49 years","2022","Kilrush, Tipperary","Number","74"
"Persons aged 40-49 years","2022","Knigh, Tipperary","Number","103"
"Persons aged 40-49 years","2022","Lackagh/Greenhall, Tipperary","Number","88"
"Persons aged 40-49 years","2022","Latteragh, Tipperary","Number","94"
"Persons aged 40-49 years","2022","Littleton, Tipperary","Number","127"
"Persons aged 40-49 years","2022","Longfordpass, Tipperary","Number","51"
"Persons aged 40-49 years","2022","Lorrha East, Tipperary","Number","42"
"Persons aged 40-49 years","2022","Lorrha West, Tipperary","Number","52"
"Persons aged 40-49 years","2022","Loughmore, Tipperary","Number","98"
"Persons aged 40-49 years","2022","Mertonhall, Tipperary","Number","24"
"Persons aged 40-49 years","2022","Monsea, Tipperary","Number","103"
"Persons aged 40-49 years","2022","Moyaliff, Tipperary","Number","61"
"Persons aged 40-49 years","2022","Moycarky, Tipperary","Number","76"
"Persons aged 40-49 years","2022","Moyne, Tipperary","Number","93"
"Persons aged 40-49 years","2022","Nenagh East Urban, Tipperary","Number","578"
"Persons aged 40-49 years","2022","Nenagh Rural, Tipperary","Number","278"
"Persons aged 40-49 years","2022","Nenagh West Urban, Tipperary","Number","998"
"Persons aged 40-49 years","2022","Newport, Tipperary","Number","620"
"Persons aged 40-49 years","2022","Rahelty, Tipperary","Number","133"
"Persons aged 40-49 years","2022","Rathcabban, Tipperary","Number","44"
"Persons aged 40-49 years","2022","Rathnaveoge, Tipperary","Number","31"
"Persons aged 40-49 years","2022","Redwood, Tipperary","Number","9"
"Persons aged 40-49 years","2022","Riverstown, Tipperary","Number","83"
"Persons aged 40-49 years","2022","Roscrea, Tipperary","Number","967"
"Persons aged 40-49 years","2022","Templederry, Tipperary","Number","12"
"Persons aged 40-49 years","2022","Templemore, Tipperary","Number","263"
"Persons aged 40-49 years","2022","Templetouhy, Tipperary","Number","120"
"Persons aged 40-49 years","2022","Terryglass, Tipperary","Number","87"
"Persons aged 40-49 years","2022","Thurles Rural, Tipperary","Number","346"
"Persons aged 40-49 years","2022","Thurles Urban, Tipperary","Number","999"
"Persons aged 40-49 years","2022","Timoney, Tipperary","Number","71"
"Persons aged 40-49 years","2022","Two-Mile-Borris, Tipperary","Number","90"
"Persons aged 40-49 years","2022","Upperchurch, Tipperary","Number","44"
"Persons aged 40-49 years","2022","Uskane, Tipperary","Number","44"
"Persons aged 40-49 years","2022","Youghalarra, Tipperary","Number","130"
"Persons aged 40-49 years","2022","Anner, Tipperary","Number","51"
"Persons aged 40-49 years","2022","Ardfinnan, Tipperary","Number","184"
"Persons aged 40-49 years","2022","Ardmayle, Tipperary","Number","88"
"Persons aged 40-49 years","2022","Ardsallagh, Tipperary","Number","67"
